"site","param","tau","slope","intercept","fall_n","spring_n","summer_n","winter_n","df","test_stat_chi","test_stat_z","p_value_chi","p_value_z","slope_lcl","slope_ucl"
"105011","HARDNESS",0.405581114062939,1,-1883.95481283422,0,70,62,0,1,1.78994223525609,6.87038426799113,0.180933201146253,6.40291914471253e-12,0.761904761904762,1.30759816554398
"105011","TEMP",0.039524122032073,0,7.31130952380956,0,72,63,0,1,0.69565037976048,0.611515422454669,0.404249100798446,0.540858411467786,-0.0333333333333336,0.0607067970655615
"105011","ZN_TOT",-0.584861021802167,-9.56875,19103.0750869565,0,67,60,0,1,0.0707140620938276,-9.58674997131284,0.790299930121651,9.09033496332428e-22,-11.5236827451867,-7.51347042573223
"105031","CL_TOT",0.608382269603949,0.6,-1174.6,98,100,93,0,2,0.167374202157191,15.3077751911382,0.919718990156954,6.78452388622715e-53,0.56,0.650123300820427
"105031","DO",0.0375521775413991,0.00714285714285724,-0.515172413793035,98,99,95,0,2,1.69112904236778,0.940025965660289,0.42931493241602,0.347204241946781,-0.0084249723930628,0.0230577182443407
"105031","HARDNESS",0.458115775286056,1.14285714285714,-2307.64285714286,98,100,92,0,2,0.0292201045619436,11.4941360242967,0.985496156664313,1.41186562651669e-30,1,1.30769230769231
"105031","TEMP",0.000191300218037764,0,13.37,99,100,94,0,2,0.278086236968645,-0.00713106818335315,0.870190506353604,0.994310279016919,-0.0297491142934075,0.0283004345964355
"106031","CL_TOT",0.554566266138733,0.888888888888889,-1603.77272727273,90,99,86,0,2,4.22546725869503,13.5733883864186,0.120906999347078,5.75966450479555e-42,0.789445890910946,1
"106031","DO",-0.0614414760714972,-0.0116666666666667,32.5734108527132,89,99,87,0,2,0.605639497340007,-1.51112391372594,0.738732241839401,0.130756882994186,-0.0256782857477954,0.00289266668900648
"106031","HARDNESS",0.196178291030271,0.381561085972851,-384.7,90,98,85,0,2,10.2855315518471,4.92576456325611,0.00584151103976516,8.40311283417468e-07,0.230769230769231,0.529166666666667
"106031","TEMP",0.0511765537079435,0.0166666666666668,-19.4511204481794,90,98,87,0,2,1.10632863220674,1.26008480828801,0.575127044229736,0.207638769938069,-0.00210846696593673,0.0645074429347612
"1ABRB002.15","DO",-0.0620953324299196,-0.0139115497076023,33.5903819444444,87,91,90,76,3,0.118684376112002,-1.6943825970484,0.989504612706744,0.0901926043042034,-0.0318181818181818,0
"1ABRB002.15","TEMP",0.0680680105976608,0.0301864285714286,-36.5282537797618,93,94,96,79,3,2.87742080250694,1.8426831032422,0.410913132656862,0.0653752924415514,0,0.0625
"1ADIF000.86","DO",-0.0932860425151426,-0.0145833333333333,36.989663058147,90,102,98,81,3,2.51344256716923,-2.69396900961239,0.472866608233512,0.00706067293316528,-0.0249999999999999,-0.00359999999999999
"1ADIF000.86","TEMP",0.042071792810412,0.0169725,-13.421442275641,100,108,106,89,3,1.69141688341716,1.21341834626826,0.638843702048879,0.224969915513681,-0.00965058835018625,0.0461948859227769
"1AGOO002.38","DO",0.0751337907227826,0.0146832983193277,-16.4302941176471,88,97,87,80,3,4.31524903876157,2.07586847650084,0.229373594523746,0.0379061169637515,0,0.0299999999999999
"1AGOO002.38","TEMP",0.00731825894580288,0,8.32390694444442,95,100,92,81,3,2.67909417665661,0.169027568090263,0.443791718876702,0.865774957179883,-0.0333333333333333,0.0375
"1AGOO011.23","DO",0.0839571885270313,0.0125,-4.82142857142852,48,53,55,51,3,7.42762360871381,1.75721999164294,0.0594475657400049,0.0788803189680593,-0.000358685701232561,0.0269294768689305
"1AGOO011.23","TEMP",-0.0350960975473075,-0.0127586206896552,40.6659615384615,50,55,62,55,3,2.99501831678946,-0.867572758177046,0.39239389172759,0.385628265053925,-0.0422143832552677,0.018524575143404
"1ANOG005.69","TEMP",-0.0105074077350814,-0.00639517543859642,52.6449717050439,59,78,72,58,3,6.52366992809279,-0.449469313733429,0.0887336800550055,0.653093139667433,-0.0433932830240376,0.0247894722473065
"1ANOG005.69","DO",0.0338780035478149,0.00250000000000021,-10.1552777777777,0,76,65,54,2,7.99951464880955,0.538102329207081,0.0183200841866642,0.590506404515983,-0.0141603353119346,0.0221916206743507
"1AQUA004.46","DO",-0.00830449298281803,0,9.2,85,93,93,0,2,0.0688535850069157,-0.201791673421139,0.966159067184138,0.840079591295374,-0.0178388234982818,0.0117647058823529
"1AQUA004.46","TEMP",-0.0259104032843068,-0.0137499999999999,30.8684943181818,90,94,98,0,2,0.555733889650722,-0.659228651160294,0.757397590478943,0.509748951159213,-0.0557579942241749,0.0233557703684098
"1ASUG004.42","DO",0.047272437896494,0.0111111111111111,-6.18604672181366,68,75,65,60,3,0.372497556568927,1.08113135998322,0.945863381225275,0.279638685432654,-0.00820759947751874,0.0304019969825543
"1ASUG004.42","TEMP",0.0945120080060657,0.0412749714052287,-83.9431578947368,75,76,71,63,3,1.68746170508803,2.24906599587521,0.639724934155181,0.0245082975757573,0.00438190510595057,0.080213188159393
"1BCDR013.29","DO",0.00969556380219205,0,-2.94413461538465,81,85,92,89,3,11.5071091072419,0.176367032768074,0.00927723549714832,0.860005602701243,-0.00995723328743604,0.0125
"1BCDR013.29","TEMP",-0.0487442229082688,-0.02,42.3016666666666,81,87,98,91,3,1.11972250963479,-1.38697095120632,0.772315250897636,0.165450620835575,-0.05,0.00909090909090921
"1BCKS003.10","DO",0.217285016524595,0.0432567567567568,-90.4352366071428,71,69,73,65,3,4.90779888198202,5.20617215680025,0.178674407007086,1.92775810432235e-07,0.0275059523066949,0.0612993147122857
"1BCKS003.10","TEMP",-0.0514637283780697,-0.0213010282021152,71.7958059210526,73,70,75,68,3,2.43875379991006,-1.25599812183214,0.486461386676155,0.209116651038636,-0.05625,0.0133794002380727
"1BHKS000.96","DO",0.224437728818448,0.0363636363636364,-60.1903863636364,97,108,106,99,3,9.46477817156403,6.63103862779118,0.0237090287778026,3.33332981535947e-11,0.0250000000000001,0.04846479292716
"1BHKS000.96","TEMP",-0.00968013883221302,-0.00227000000000001,11.1435776948051,98,109,111,100,3,1.79416699689569,-0.357082431492344,0.61620508461418,0.721030096290801,-0.0264964536641102,0.0191493182780665
"1BNFS000.57","DO",-0.00633418757437452,0,-6.44166666666664,97,95,96,95,3,19.6467832104373,-0.189195599485888,0.00020089196566786,0.849939516483368,-0.0190476190476191,0.0147751344120982
"1BNFS000.57","TEMP",-0.0258717369970374,-0.0111111111111113,64.6610152714932,97,98,99,96,3,3.56054301953011,-0.739517296861986,0.31299436908321,0.459592940553952,-0.0484408530631843,0.0222222222222222
"1BNFS010.34","DO",0.000570354938476844,0,23.0742500000002,100,105,108,99,3,10.3192882033769,-0.0754300274945177,0.0160382385624368,0.939872568771175,-0.0147137842648287,0.0105526315789474
"1BNFS010.34","TEMP",-0.00248501311006176,0,25.9,109,112,117,105,3,3.0689084320494,-0.0331825706786914,0.381122394125056,0.973528997052053,-0.0277072640037378,0.025
"1BNFS093.53","DO",0.0393090598032459,0.00558333333333335,-16.1333992094862,89,91,97,87,3,10.2055654979026,0.96871238088593,0.0168971950379349,0.332688713508563,-0.00588235294117645,0.0197226112221649
"1BNFS093.53","TEMP",-0.0445116007035092,-0.023076923076923,65.0704029411768,90,93,98,88,3,1.77634937189893,-1.29428713674665,0.620095051317005,0.19556625795935,-0.0591981204569012,0.0100000000000001
"1BPSG001.36","DO",-0.0202048412505156,-0.000999999999999979,-4.98161290322581,86,90,90,0,2,5.41654597803754,-0.51069109991438,0.0666518157932551,0.609567373775049,-0.0153846153846155,0.0087171401138014
"1BPSG001.36","TEMP",-0.0262742356945255,-0.0140000000000001,22.3,85,92,93,0,2,1.09741347824031,-0.652892398340587,0.57769643968906,0.51382564996339,-0.0585965928171515,0.0314285714285715
"1BSHN022.63","DO",-0.0801935691788689,-0.0214285714285714,67.8581685855263,94,102,102,90,3,36.5148073506872,-2.58251571609878,5.82806652937862e-08,0.00980828947975929,-0.0357142857142857,-0.00476190476190474
"1BSHN022.63","TEMP",-0.00952227978859242,0,22.8558982683982,95,101,102,89,3,6.36125057605757,-0.180806138859813,0.0952980138439704,0.856519744416311,-0.0372576505583518,0.0269026950990764
"1BSSF003.56","DO",0.0208096189979047,0.00352941176470589,17.8282336558758,100,108,109,106,3,9.74614866158801,0.637748026460637,0.0208519149115931,0.523637716938823,-0.01,0.0172015339200572
"1BSSF003.56","TEMP",-0.0313560921535904,-0.0133333333333333,30.05,110,113,118,113,3,1.88424088060419,-0.973237600823234,0.596776920101809,0.330435227029833,-0.0403811177977065,0.0123166598752408
"1BSSF054.20","DO",0.055888037239845,0.00999999999999998,-17.0172578286749,90,102,107,100,3,8.23869092017437,1.59609460214297,0.0413278519014216,0.110467673660197,0,0.0238095238095238
"1BSSF054.20","TEMP",0.04091426576767,0.0166666666666666,-31.5868841898149,91,102,106,99,3,1.87962127774435,1.1985985049554,0.597763563898667,0.230684099810868,-0.00999999999999997,0.0461538461538461
"1BSTH007.80","DO",0.0280411499078566,0.0014285714285714,-4.81000000000005,110,111,116,104,3,19.3401240906085,0.704392197004746,0.00023251046532291,0.481188564014919,-0.00656441330686537,0.0133228127933791
"1BSTH007.80","TEMP",-0.0341067597744944,-0.0127529220779221,49.187841880342,112,113,115,104,3,1.41598487290117,-1.034308915103,0.701792103119308,0.300991770425546,-0.0398895749615867,0.0117647058823529
"1BSTH027.85","DO",-0.0271495504629018,-0.00444444444444445,24.7232773109244,99,104,109,98,3,11.6740385551154,-0.945518475129762,0.00858741240683336,0.344394243228616,-0.0158079720255119,0.00421167124188342
"1BSTH027.85","TEMP",-0.0670561149591838,-0.0255842105263158,57.9847272727273,102,105,114,101,3,2.11574169756187,-2.09442688829479,0.548734681366631,0.0362219696119741,-0.05,0
"2-ALM000.42","DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-ALM000.42","TEMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-APP012.79","DO",-0.000730325396789928,0,5.72015037593974,103,109,98,97,3,13.3649867766528,0.0173650488676233,0.00391024609054891,0.986145391912222,-0.00958718078416589,0.00999999999999998
"2-APP012.79","TEMP",-0.0114516990413894,-0.00375000000000014,20.2624999999998,103,110,99,98,3,0.613804448100688,-0.323506150312881,0.893265016347711,0.7463119504672,-0.0336938433125215,0.0246316760613985
"2-APP050.23","DO",0.0658938131465604,0.0090909090909091,-4.14264932126694,99,99,100,92,3,3.55300296470932,1.85545522202014,0.313952598045974,0.06353124789953,0,0.0209059470007095
"2-APP050.23","TEMP",-0.00611321451657586,0,19.2207715686274,99,99,101,92,3,0.648911405529107,-0.149254874658457,0.885149477398208,0.881352521151619,-0.0344592114214245,0.0310536706485637
"2-APP110.93","DO",-0.00828068891819818,0,10.1550119617225,72,78,78,76,3,0.462897568670647,-0.226455568366683,0.926963681746834,0.820847112916266,-0.0104,0.00628238602511146
"2-APP110.93","TEMP",0.00608673611764099,0,16.0124039583333,83,86,89,86,3,0.921055959601001,0.160373401325506,0.820343776817814,0.872586941073864,-0.0218213858563714,0.0265019854901573
"2-APP118.04","DO",0.0581211070300547,0.00844736842105263,-13.9862204241071,78,83,90,85,3,1.87687391731512,1.62541180456012,0.598350844735673,0.104074842296087,-0.000740740740740725,0.02
"2-APP118.04","TEMP",0.0223182396179634,0.0074537037037037,21.3715634285715,85,89,97,91,3,2.56209525917215,0.68422166236964,0.464173520430094,0.493835205301401,-0.0189075354958251,0.0399999999999999
"2-BUF002.10","DO",0.011301844911125,0,-5.21964285714291,88,96,95,87,3,27.154130359528,0.144257542635787,5.4651845450282e-06,0.885297103623399,-0.00993531733705109,0.0111111111111111
"2-BUF002.10","TEMP",0.0513397367021297,0.024631858974359,-13.0580202651515,97,104,103,93,3,5.43234659303246,1.55029694977761,0.142741503124915,0.121070259113068,-0.00499999999999999,0.055169838615705
"2-CHK062.57","DO",-0.00705189342294505,-0.000954545454545434,9.61857981390909,87,91,86,80,3,3.16003890174206,-0.204650711800826,0.367602409071659,0.837845031538919,-0.0194408539114668,0.014
"2-CHK062.57","TEMP",-0.00804138031797932,0,19.147875974026,86,89,87,80,3,2.60938133209827,-0.170926263868541,0.455847251408059,0.864281744972283,-0.0327503404426372,0.0268
"2-CHK076.59","DO",0.0415449863096157,0.0088888888888889,6.44486466165408,89,101,99,90,3,6.10896185192793,1.21998898758634,0.106427673040239,0.222469049579041,-0.00601589780558955,0.0244591719949003
"2-CHK076.59","TEMP",0.0360496606752269,0.014375,-5.82717449550653,90,101,100,91,3,0.80072939597316,1.00621067574849,0.84929256353838,0.314314237795892,-0.0114285714285714,0.04782607348982
"2-CWP002.58","DO",0.0248368637847887,0.000588235294117635,-0.390619150246328,74,82,70,72,3,2.68793993608428,0.673871543757723,0.442280668004213,0.500392984947897,-0.00726009779122158,0.0133333333333333
"2-CWP002.58","TEMP",0.00869683292323072,0,6.31003480769267,78,86,72,73,3,4.45864556656992,0.169544086151022,0.216008803180901,0.865368698521458,-0.0333333333333333,0.0375
"2-FAC000.85","DO",0.0468603013803282,0.00615384615384616,-3.75553823529417,81,85,83,78,3,1.68352242600594,1.20616620097069,0.640603329817449,0.227753413259576,-0.00399999999999997,0.0178747508692776
"2-FAC000.85","TEMP",0.0389799682597082,0.0161111111111111,-11.6325224650351,81,86,83,79,3,0.198511088981457,1.03381423799237,0.977829300326094,0.301223014146638,-0.0125,0.05
"2-JKS000.38","DO",0.164852337981105,0.0305972222222222,-57.7450424107143,95,104,96,91,3,0.786977922369886,4.7380172874689,0.852579140008921,2.1581940509742e-06,0.0167083333333333,0.042857142857143
"2-JKS000.38","TEMP",-0.00231301742559798,0,-4.84756868131866,99,105,98,95,3,13.868628491716,-0.11278359044407,0.003089536516094,0.910202128255519,-0.0399999999999999,0.0333333333333334
"2-JMS110.30","DO",0.0927738737313614,0.0125,-28.1108333333333,125,123,122,117,3,5.39330544512327,3.00106026616321,0.145161242295253,0.0026904131177367,0.00374153008541467,0.0211370136577296
"2-JMS110.30","TEMP",0.0367477410329342,0.0188235294117647,-21.65095,127,126,120,119,3,5.03070956977542,1.19482508587383,0.169562200687528,0.232155376988245,-0.00942071107484286,0.0479943458737124
"2-JMS117.35","DO",-0.0316259165254006,-0.005,15.4061862745098,103,108,102,97,3,6.28866145311845,-0.935739849532788,0.0983803452095001,0.349407147890619,-0.0161383149646125,0.00444444444444442
"2-JMS117.35","TEMP",0.0693273641811207,0.0318847968936679,-48.1378221774192,105,108,103,97,3,4.41468130702562,2.0832549022956,0.220027943833754,0.037227995082437,0,0.0659201503221865
"2-JMS157.28","DO",0.0438360289512416,0.00571428571428572,-4.18615975935825,108,122,116,114,3,1.1656204354782,1.34350994929357,0.761261201276189,0.179106906592094,-0.00307692307692308,0.0159103202332376
"2-JMS157.28","TEMP",-0.00970656673375011,-0.00285714285714283,25.6525046992481,115,126,123,119,3,0.894827452075623,-0.315336875925508,0.826675881298034,0.752505889196106,-0.0290334582600421,0.02211
"2-JMS189.31","DO",-0.0218173541574704,-0.00588235294117645,10.8885984848485,81,92,92,87,3,40.0183520482219,-0.8050882072933,1.05600750366364e-08,0.420768780430023,-0.0188289932155855,0.00626283639753263
"2-JMS189.31","TEMP",0.0112107592745079,0.00498472222222219,30.2508461538462,86,98,100,93,3,5.1822038557146,0.380689994510856,0.158931244358863,0.703433294054907,-0.0248148148148149,0.04
"2-JMS258.54","DO",0.206355324808881,0.04,-76.1748143382353,94,97,104,98,3,2.4380502440799,6.06145598544214,0.486590886451673,1.34894804476214e-09,0.027328576446872,0.0524047619047619
"2-JMS258.54","TEMP",0.0752629342307421,0.0357142857142857,-53.8871341716271,101,104,109,104,3,6.98093156900056,2.3399325436331,0.0725080380616796,0.0192872231503937,0.00357826107655979,0.0666666666666664
"2-JMS282.28","DO",-0.0519905315815894,-0.0105263157894737,18.9404545454545,101,97,99,96,3,24.5578548482624,-1.56778736780648,1.91019365525236e-05,0.116930763923736,-0.0230769230769231,0
"2-JMS282.28","TEMP",0.0532946679573042,0.0258064516129032,-24.0364094679865,102,99,101,99,3,2.32165268992041,1.58055761851291,0.508385522431331,0.113979222726946,-0.00644864754786109,0.0571428571428572
"2-MCM005.12","DO",-0.0354551313483927,-0.00505769230769235,16.3942480620155,102,111,109,111,3,27.5125903569153,-1.06663201314617,4.59648152051351e-06,0.286138038564573,-0.0153273653664036,0.00274340880409475
"2-MCM005.12","TEMP",-0.0515013202232933,-0.0204986842105263,51.5431914438503,105,111,118,112,3,2.66008997885416,-1.6547454533931,0.447052245019353,0.0979761427706969,-0.0448632504651422,0.00246917330913523
"2-POT000.12","DO",0.0819695563612307,0.0100000000000002,-13.8178521041898,74,84,76,72,3,2.29181565963995,2.12376335695938,0.514090622319977,0.0336899365035703,0,0.0222222222222221
"2-POT000.12","TEMP",0.0389464869111552,0.0192966666666667,-45.6962580522925,76,86,78,73,3,1.7844683139213,0.929417275065434,0.618320623331349,0.352672878541618,-0.0148264702943116,0.0526315789473684
"2-RVN015.97","DO",0.0158447222660762,0,-5.85789473684205,94,98,103,95,3,15.1732064507738,0.325962412828862,0.00167445776605157,0.744452793506851,-0.00999999999999996,0.0125000000000001
"2-RVN015.97","TEMP",0.0426961718315102,0.0189285714285714,-3.87208333333348,96,99,105,96,3,1.95580757191273,1.29502049209155,0.581629483496461,0.195313160462154,-0.00999999999999996,0.0478152026211784
"2-RVN033.65","DO",0.177815103865191,0.0346346153846154,-67.1096774193549,81,86,0,84,2,5.07517475017235,4.11454112733704,0.079056904547528,3.87950387853372e-05,0.0173785739102101,0.0503351259867936
"2-RVN033.65","TEMP",-0.0337811455738575,-0.0198456481481481,53.7549999999999,82,87,0,85,2,1.108496919001,-0.766978993314827,0.57450386191276,0.443094005334263,-0.0703492006703816,0.0299914449849621
"3-RAP006.53","TEMP",0.033908317786814,0.0119354838709678,-12.6570016788766,84,87,101,85,3,2.24087803406274,0.938028254667328,0.523941616888526,0.348229890033468,-0.0143397533975468,0.0411764705882353
"3-RAP006.53","DO",0.0240186269590791,5.00000000000167e-05,-6.43714285714305,0,85,92,80,2,2.52031834955792,0.470420444663601,0.283608879526026,0.638054660288199,-0.0105600844229567,0.0166666666666666
"3-RAP030.21","DO",-0.0760604802604803,-0.0107142857142857,29.9186196911196,65,66,64,55,3,2.31842412198096,-1.77934299184604,0.509000526008327,0.0751835466186257,-0.021875,0
"3-RAP030.21","TEMP",0.0588438383315742,0.0222777777777778,-32.1586293465909,74,73,72,63,3,2.75005110778251,1.41331942455406,0.431788531983537,0.157561825115954,-0.00701699684440742,0.0559020097446791
"3-ROB001.90","DO",0.0405812357048258,0.00434891304347829,-3.21729211469534,104,110,103,85,3,3.7843182636801,1.18799432474808,0.285715456500368,0.234835645621714,-0.00344827586206895,0.0147205882352941
"3-ROB001.90","TEMP",0.0415019327362221,0.0142857142857141,-10.4138644688644,111,118,111,88,3,1.45967067556703,1.14525807631668,0.691609098679864,0.252102267005375,-0.0103448275862069,0.04
"3-THO006.50","TEMP",-0.0891865884162532,-0.0431414473684211,77.7282159505207,88,90,86,69,3,2.48452689544842,-2.37164363886207,0.478093911089129,0.0177091617630348,-0.08,-0.0065981308354615
"3-THO006.50","DO",0.0501479385830098,0.00588235294117645,-22.7164705882353,0,88,81,70,2,7.5822473786408,1.05236227259756,0.0225702256747731,0.292633371043411,-0.00590983907144637,0.0199999999999999
"304041","CL_TOT",0.243246779388084,0.125,-226.601648351648,0,65,70,0,1,2.19250638009936,4.08708721381667,0.138683483138381,4.3682294169275e-05,0.0625,0.166666666666667
"304041","DO",0.0643470487851126,0.0093750000000001,-23.8425,0,68,77,0,1,0.970035392015262,1.06701180210344,0.324671352391556,0.285966506557435,-0.00839024491133169,0.02625
"304041","HARDNESS",0.188071328263692,0.227922077922078,-424.894444444444,0,67,74,0,1,0.157062502804481,3.24321990117881,0.691875525810504,0.0011818695452241,0.0909090909090909,0.346554652676017
"304041","TALK",-0.119786342123056,-0.0476190476190476,130.341176470588,0,69,76,0,1,3.92410098312872,-2.21019137729215,0.0475986339356856,0.0270918831578191,-0.1,0
"304041","TEMP",0.0857419007081653,0.0340740740740741,-45.1687499999992,0,68,78,0,1,0.305723128142104,1.55057254033454,0.580316580580326,0.121004156982599,0,0.0912500000000001
"4ABAN005.58","DO",-0.0788956605041653,-0.0135135135135135,48.4999011752137,86,90,98,95,3,7.1673194839119,-2.24745918335196,0.0667516914550101,0.0246106963194578,-0.025,-0.000807117535451797
"4ABAN005.58","TEMP",0.0441800594348833,0.0189999999999998,-5.71439285714285,93,95,104,100,3,1.76515378492945,1.29071207203804,0.622547058164642,0.196803537025444,-0.0111603138853546,0.0528571428571427
"4ABWR019.75","DO",0.149147226404996,0.0242537878787879,-56.4619741379309,93,97,103,89,3,7.02604366598834,4.14135835851821,0.0710722886724308,3.45255051688853e-05,0.0122510642856176,0.0363701352597693
"4ABWR019.75","TEMP",0.0254134595891045,0.0122214285714286,3.42180138888891,99,104,110,95,3,2.22773987385725,0.817937651990188,0.526505168897608,0.413392789349267,-0.0174565320434102,0.0444444444444443
"4ADAN015.30","DO",0.0676480601560013,0.0105460526315789,-14.2437058823529,87,93,97,96,3,1.02445596169902,1.92191813036262,0.795334621504187,0.0546160601173866,0,0.0222222222222222
"4ADAN015.30","TEMP",0.00558566316153137,0.00235294117647054,12.7584375000001,92,98,105,102,3,0.767381228295478,0.180160450918924,0.857252030004889,0.857026605943369,-0.028,0.0307880032041549
"4ADAN075.22","DO",0.0976510236185124,0.0142857142857143,-22.4820185185185,99,104,98,91,3,4.58448783693295,2.83162367032617,0.204876839171702,0.00463123203085758,0.00272080833782039,0.0260869565217391
"4ADAN075.22","TEMP",0.0676082704143929,0.0315864285714285,-64.0487293750001,105,110,106,99,3,4.98264754476543,2.06669623335141,0.17307219497148,0.0387627863274643,0,0.0631578947368421
"4ARNF013.66","TEMP",0.022246861707646,0.00601596283783786,-15.3283032332876,64,69,63,65,3,0.609219113326396,0.531759541148025,0.894318662929229,0.594892547838641,-0.0203333041008331,0.0433724644058001
"4ARNF013.66","DO",0.0764726727545318,0.00812162162162166,-7.1772596153846,0,0,56,59,1,1.40392840705427,1.16016026987105,0.236066933105218,0.245983559447957,-0.00862605553340165,0.0333333333333332
